 CUSTOMER_NAME	 PRODUCT_NAME	bandwith in mbps	COPF_ID  	CIRCUIT_ID	Opportunity ID Mapping	Supplier	qspeed	Cost Price	Sale Price
ABC001	Broadband 2 MBPS	2	299586	091CHEN515007791347	559167	ATT	1	100	100
ABC016	BB4	40	423367	22163226839	1597714	WCG	40	20000	28000
ABC006	Broadband 2 MBPS	2	357722	091BENG515011748372	1595480	WCG	1	240	200
ABC011	BB4	40	304404	091CHEN515005496121	202278	ATT	10	5000	7000
ABC012	BB4	40	304580	44163234172	1641652	WCG	20	10000	14000
ABC012	BB4	40	304581	44163234167	1641691	WCG	40	20000	28000
ABC012	BB4	40	304582	44163234163	1641722	WCG	30	15000	21000
ABC012	BB4	40	304583	44163234159	1621713	WCG	0	0	0
ABC012	BB4	40	304642	22163234142	1621693	WCG	0	0	0
ABC012	BB4	40	304643	22163234139	1641683	WCG	0	0	0
ABC012	BB4	40	304644	22163234123	1616056	WCG	0	0	0
ABC012	BB4	40	304645	22163234121	1616093	WCG	0	0	0
ABC002	Broadband 2 MBPS	2	408594	091CHEN515005753530	1574721	WCG	0	200	250
ABC009	Broadband 2 MBPS	2	489763	091CHEN515007662228	826081	ATT	0	360	300
ABC008	Broadband 2 MBPS	2	474606	091CHEN515009582620	637865	WCG	0	480	500
ABC017	BB4	40	398323	091NEWD515011416047	1376535	ATT	0	0	0
ABC017	BB4	40	347964	091NEWD515011416161	1376535	ATT	0	0	0
ABC017	BB4	40	347968	091NEWD515011416176	1376535	ATT	0	0	0
ABC007	Broadband 2 MBPS	2	349247	091PUNE515011450496	1674418	ATT	0	600	600
ABC017	BB4	40	350464	091NEWD515011485129	1376539	ATT	0	0	0
ABC017	BB4	40	350371	091NEWD515011483452	1376539	ATT	0	0	0
ABC017	BB4	40	398325	091NEWD515011510855	1563276	ATT	0	0	0
ABC017	BB4	40	351163	091NEWD515011510953	1396393	ATT	10	5000	7000
ABC005	Broadband 2 MBPS	2	351381	091MUMB515011518167	1571557	ATT	2	300	250
ABC006	Broadband 2 MBPS	2	357405	091BENG515011742794	1552164	WCG	0	720	700
ABC016	BB4	40	409772	219757	1426716	WCG	10	5000	7000
ABC015	BB4	40	362850	091MUMB515011883879	1423136	ATT	20	10000	14000
ABC014	BB4	40	402636	091NEWD515012962521	1512920	WCG	20	10000	14000
ABC014	BB4	40	402640	091NEWD515012962533	1512920	WCG	30	15000	21000
ABC020	BB4	40	395057	091MUMB515013000618	1554760	WCG	30	15000	21000
ABC012	BB4	40	397540	091NEWD515013156909	1556225	WCG	10	5000	7000
ABC012	BB4	40	397527	091MUMB515013155711	1556224	WCG	10	5000	7000
ABC019	BB4	40	382585	091HYDE515012607618	1531374	ATT	10	5000	7000
ABC019	BB4	40	382587	091MUMB515012607664	1531374	ATT	5	2500	3500
ABC019	BB4	40	382584	091HYDE515012607606	1531374	ATT	15	7500	10500
ABC019	BB4	40	382582	091HYDE515012607575	1531374	ATT	5	2500	3500
ABC019	BB4	40	382589	091MUMB515012607695	1531374	ATT	15	7500	10500
ABC019	BB4	40	382580	091HYDE515012607546	1531374	ATT	25	12500	17500
ABC013	BB4	40	361781	091NEWD515011856216	1442438	ATT	25	12500	17500
ABC008	Broadband 2 MBPS	2	515708	091MUMB515008282170	1476329	WCG	0	840	800
ABC018	BB4	40	315912	091MUMB515008301095	1614274	WCG	35	17500	24500
ABC008	Broadband 2 MBPS	2	521974	091MUMB515009548602	1476367	WCG	0	960	1000
ABC008	Broadband 2 MBPS	2	514916	091MUMB515009548716	1688954	WCG	1	1080	1170
ABC012	BB4	40	418862	091MUMB515010290038	1565941	WCG	5	2500	3500
ABC004	Broadband 2 MBPS	2	310935	091MUMB515010304909	1605143	WCG	1	400	600
ABC010	Broadband 2 MBPS	2	350709	091MUMB515011494045	1668440	WCG	2	1200	1300
ABC003	Broadband 2 MBPS	2	476825	091KOLK515011868316	1548865	ATT	1	500	450
ABC012	BB4	40	361093	091MUMB515011835340	1414825	WCG	5	2500	3500
ABC014	BB4	40	402646	091NEWD515012962545	1616937	WCG	5	2500	3500
ABC007	Broadband 2 MBPS	2	349246	091PUNE515011450484	1380090	ATT	0	120	130

